Dwell (ms),Type I block,Type II block
0.5159,13.12204,
0.5,13.12964,
0.5155,13.14238,
0.5,13.14738,
0.5315,13.15769,
0.5,13.20054,
0.5313,13.24871,
0.6095,13.28319,
0.5313,13.2957,
0.5,13.3046,
0.625,13.34869,
0.625,13.36936,
0.5158,13.38173,
0.594,13.40585,
1.8435,13.46676,
0.5937,13.48333,
0.5,13.52501,
0.5,13.52512,
0.5,13.56755,
0.5157,13.67276,
0.8285,13.70638,
0.5,13.73716,
1.0159,13.75729,
0.7185,13.77853,
0.625,13.80595,
0.5,13.86028,
0.5,13.87669,
0.5155,13.87786,
0.6091,13.88705,
0.5935,13.91691,
0.5,13.96807,
0.5155,13.98017,
0.5,13.98067,
0.6095,13.99923,
0.5155,14.0107,
0.5158,14.0254,
0.594,14.0497,
0.5315,14.08578,
0.6091,14.10892,
0.5,14.14322,
0.5,14.20076,
0.5,14.2012,
0.719,14.27376,
0.5155,14.34311,
0.5937,14.38173,
0.5,14.41927,
0.6095,14.4564,
0.5315,14.45809,
0.5156,14.45991,
0.625,14.48422,
0.625,14.49849,
0.5,14.53505,
0.6092,14.56669,
0.5,14.60646,
0.5315,14.61151,
0.625,14.61343,
0.6094,14.61503,
0.5,14.61858,
0.5312,14.61943,
0.8125,14.71305,
0.5156,14.73578,
0.5,14.74896,
0.5,14.75058,
0.531,14.75858,
0.625,14.76085,
0.5,14.77189,
0.5,14.80867,
0.5,14.82401,
0.625,14.84093,
1,14.84174,
0.5,14.85427,
0.5,14.90497,
0.9062,14.91541,
0.5157,14.92751,
0.531,14.93253,
0.5,14.9372,
0.719,14.94046,
1.3438,14.95937,
0.625,14.98055,
0.5313,14.98678,
0.5,15.05045,
0.5938,15.051,
0.531,15.0622,
0.5,15.09928,
0.5,15.09932,
0.5935,15.10402,
0.5,15.15715,
0.531,15.21262,
0.5158,15.2495,
0.594,15.28925,
0.7185,15.31028,
0.8438,15.32353,
0.625,15.37018,
0.5,15.38159,
0.5158,15.39467,
0.5313,15.45491,
0.719,15.45815,
0.5938,15.45931,
0.531,15.47192,
0.5157,15.47293,
0.5313,15.47338,
0.5155,15.52127,
0.6878,15.5462,
0.625,15.55467,
0.5157,15.55572,
0.5312,15.56129,
0.5157,15.56155,
0.5,15.58844,
0.8125,15.61029,
0.5938,15.61783,
0.5313,15.62877,
0.8125,15.62929,
0.5,15.63707,
0.5313,15.64608,
1.0312,15.64749,
0.5155,15.67202,
0.5,15.68821,
0.5,15.72857,
0.5,15.7308,
0.625,15.74439,
0.5,15.74606,
0.5312,15.78625,
0.8125,15.80029,
0.5313,15.81743,
0.5,15.83761,
0.531,15.83862,
0.5,15.87061,
0.5935,15.88028,
0.5315,15.88232,
0.9065,15.88402,
0.5315,15.89041,
0.625,15.89517,
0.5,15.94017,
0.8435,15.94197,
0.531,15.96678,
0.9062,15.96796,
0.5,16.00124,
0.9065,16.01062,
0.625,16.014,
0.5155,16.02363,
0.5938,16.02693,
0.625,16.04659,
0.5315,16.0515,
0.5,16.05935,
0.719,16.06,
0.8122,16.06229,
0.625,16.0632,
2.25,16.06377,
0.5312,16.06505,
0.5312,16.09479,
1.0313,16.09606,
0.5,16.11641,
0.625,16.1173,
0.5,16.12728,
0.5,16.13461,
0.5315,16.14037,
0.531,16.14787,
0.625,16.14864,
0.8125,16.14974,
0.625,16.15517,
0.5937,16.15712,
1.0315,16.15833,
0.828,16.159,
0.5,16.16753,
0.625,16.17566,
0.5315,16.17651,
1.3438,16.18443,
0.8128,16.19014,
0.5,16.20741,
1.0313,16.21133,
0.9372,16.21226,
0.625,16.2149,
0.6875,16.21632,
0.5,16.22626,
0.5,16.24226,
0.9063,16.24966,
0.5315,16.26138,
0.5158,16.27464,
0.5312,16.29558,
1,16.34404,
0.5,16.34745,
0.828,16.34861,
0.8125,16.36379,
0.625,16.39099,
0.7187,16.39399,
0.625,16.41875,
0.8435,16.42516,
0.5,16.42788,
0.8122,16.43448,
0.531,16.46261,
0.5,16.46866,
0.625,16.4905,
0.594,16.50866,
0.7188,16.50914,
1.0313,16.51039,
0.5,16.51281,
0.5157,16.52907,
0.5,16.5472,
0.5,16.55055,
0.5,16.55537,
0.5937,16.57328,
0.625,16.5789,
0.9375,16.58037,
1.0315,16.58084,
0.5155,16.58351,
0.531,16.59514,
0.906,16.62521,
0.625,16.62616,
0.5,16.63,
1.0312,16.63317,
0.719,16.66193,
0.5,16.67026,
0.7185,16.68385,
0.5,16.68404,
0.5,16.69724,
0.531,16.70083,
1.031,16.70984,
0.5,16.71304,
0.8128,16.73743,
0.5,16.74476,
0.531,16.74838,
1.0315,16.75264,
0.625,16.76388,
0.8437,16.77166,
1.0313,16.79075,
0.5,16.79507,
0.5,16.79583,
0.5,16.80375,
0.719,16.81145,
0.625,16.8139,
0.7185,16.82708,
1.4378,16.84562,
0.5313,16.85184,
0.7189,16.86586,
0.7187,16.87119,
0.719,16.88766,
0.625,16.91481,
0.719,16.92111,
0.5,16.92224,
0.5315,16.93224,
0.531,16.93447,
0.8437,16.93503,
0.8122,16.94172,
0.5938,17.0107,
0.719,17.01186,
0.625,17.01669,
0.5,17.02039,
0.7185,17.02758,
0.5313,17.04379,
0.5313,17.07259,
0.5,17.08121,
0.625,17.10123,
0.5315,17.12117,
1,17.122,
0.625,17.12497,
0.5156,17.12622,
0.531,17.13189,
0.625,17.13252,
0.5,17.16173,
0.8125,17.16324,
0.9065,17.16413,
0.9062,17.16974,
0.7187,17.20923,
0.8125,17.23254,
0.719,17.24014,
0.8125,17.24856,
0.531,17.28086,
0.9062,17.28323,
0.625,17.28564,
1.3437,17.29389,
1.5313,17.29686,
0.625,17.30548,
0.9065,17.31897,
0.5312,17.32989,
0.5,17.33485,
0.625,17.33654,
0.5,17.348,
0.7185,17.36956,
0.5937,17.36996,
0.6091,17.37658,
0.5159,17.38127,
0.7185,17.39639,
0.6093,17.43207,
1.344,17.43466,
0.9062,17.4524,
0.5312,17.47021,
0.8125,17.47079,
0.5158,17.47632,
1,17.49704,
0.5,17.50447,
0.7188,17.51432,
0.5315,17.54987,
1.219,17.56028,
0.5937,17.56485,
1,17.56688,
1.031,17.576,
0.906,17.5876,
0.7185,17.60613,
0.5937,17.61039,
0.6875,17.62172,
0.5,17.62837,
1.2187,17.64446,
0.5,17.65295,
1.125,17.66239,
0.625,17.66808,
0.531,17.6712,
0.5,17.6915,
0.7188,17.69489,
0.7187,17.70012,
0.5,17.70191,
0.5313,17.70604,
0.625,17.70848,
0.7187,17.7096,
0.5,17.71256,
0.625,17.7162,
2.6563,17.72737,
0.5,17.72742,
0.719,17.74552,
0.719,17.74772,
0.5313,17.75476,
0.5155,17.75655,
0.5,17.77446,
0.625,17.7873,
0.8128,17.81842,
0.5,17.83806,
0.5155,17.84157,
0.5,17.84236,
0.625,17.84394,
0.594,17.86361,
0.5312,17.86562,
0.8437,17.8702,
0.5155,17.87085,
0.8122,17.87385,
0.625,17.87877,
0.5,17.88121,
0.5,17.9164,
0.7185,17.91988,
0.7185,17.93647,
0.5,17.9424,
0.5159,17.95686,
0.625,17.97695,
0.5,17.98597,
0.9375,17.98767,
0.5,18.00341,
2.25,18.02514,
1,18.03349,
2.0315,18.03432,
0.5,18.04327,
0.531,18.04527,
0.5312,18.04928,
0.5157,18.07518,
0.5,18.08072,
0.7188,18.10101,
0.625,18.13354,
0.5313,18.1537,
0.625,18.16472,
1.125,18.16922,
0.625,18.17467,
0.7188,18.1796,
1.25,18.18092,
0.625,18.18303,
0.8128,18.21325,
0.5,18.21451,
0.625,18.2295,
0.6875,18.23637,
0.5937,18.24186,
0.6095,18.2576,
0.9375,18.26044,
0.5,18.26591,
0.8122,18.27053,
0.5315,18.27087,
0.531,18.27417,
0.7185,18.28928,
0.922,18.30655,
2.0628,18.3113,
0.906,18.31754,
0.5938,18.33332,
1.5313,18.34571,
0.5,18.34597,
0.5,18.3547,
0.6095,18.36028,
0.9375,18.39737,
0.7188,18.40965,
0.531,18.42658,
0.5,18.43624,
0.7188,18.44243,
0.5,18.4484,
0.8125,18.45642,
1.125,18.46402,
0.8125,18.4649,
0.5,18.4702,
0.5938,18.47673,
0.5,18.4911,
0.6878,18.49337,
0.5,18.50389,
0.9375,18.54495,
0.5,18.54647,
0.625,18.55172,
1.125,18.56398,
0.9375,18.58859,
0.625,18.60995,
0.5,18.61178,
0.5157,18.6154,
0.5,18.62545,
1.5312,18.64325,
0.5,18.65824,
1.125,18.66618,
0.5937,18.66763,
0.5,18.67087,
0.5313,18.67328,
0.719,18.68827,
0.625,18.70473,
1.125,18.72876,
0.7187,18.75447,
0.625,18.75876,
0.5938,18.76095,
0.5,18.76333,
0.719,18.80935,
1.4375,18.8164,
1.2185,18.81713,
0.7185,18.82337,
1.125,18.8355,
0.5935,18.84084,
0.625,18.85183,
0.5937,18.8681,
0.7185,18.89251,
0.625,18.91061,
0.719,18.91957,
0.5,18.92436,
1.4219,18.92551,
1.625,18.93336,
0.719,18.94022,
0.5,18.95071,
0.7185,18.95345,
0.8125,18.95771,
0.8125,18.99755,
0.7188,19.02111,
0.7186,19.03345,
0.625,19.03664,
1.125,19.03871,
0.828,19.08488,
1.031,19.08549,
0.5,19.10489,
0.5315,19.11647,
0.7187,19.12416,
0.5,19.13222,
0.5,19.14681,
0.6095,19.17135,
3.0938,19.18217,
1.0315,19.18941,
