i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
290 0 0.52962 -7.95782
291 0 0.38127 0.65967
292 0 0.22879 0.1816
293 0 0.34252 -4.27334
294 0 0.34252 -5.93734
295 0 0.35344 4.33373
296 0 0.3244 -3.738
297 0 0.329 -5.40229
298 0 0.31645 -0.69561
299 0 0.21863 3.13744
300 0 2.51773 -8.88841
301 0 2.51773 8.88841
302 0 0.22555 3.40597
303 0 0.11559 0.63985
304 0 3.73109 3.22273
305 0 3.73109 -3.22273
306 0 0.30346 2.54682
307 0 0.33576 2.49478
308 0 0.33555 2.38924
309 0 0.30323 2.33268
310 0 0.34148 -3.60978
311 0 0.08222 1.49527
312 0 0.06374 -7.8507
313 0 0.06374 7.8507
314 0 0.30925 3.69256
315 0 0.20912 -0.60055
316 0 0.03396 3.48935
317 0 0.1454 -5.19653
318 0 0.21256 2.54578
319 0 0.19368 -2.71403
320 0 0.17435 -2.76968
321 0 0.36361 -3.90343
322 0 0.36105 -5.56475
323 0 0.24799 -6.99942
324 0 0.35278 2.14603
325 0 3.73617 -7.79033
326 0 3.73617 7.79033
327 0 0.30677 4.7917
328 0 0.2925 -1.76449
329 0 0.29902 6.83163
330 0 0.2948 4.9566
331 0 0.07308 -8.55514
332 0 0.07308 8.55514
333 0 1.95928 8.53834
334 0 1.95932 -8.53841
335 0 0.29896 -7.5398
336 0 0.29896 7.5398
337 0 0.15628 -5.82754
338 0 0.15628 -4.16351
339 0 0.14125 -2.65512
340 0 0.34279 3.76105
341 0 0.19254 3.90478
342 0 0.0418 -0.56353
343 0 3.50605 -7.08638
344 0 3.50605 7.08638
345 0 0.35446 0.76632
346 0 0.26891 -2.37892
347 0 0.1089 -7.92964
348 0 0.1089 7.92964
349 0 0.37728 6.51675
350 0 0.38825 4.46924
351 0 0.13438 7.12177
352 0 0.13438 -1.47823
353 0 0.12348 -7.11727
354 0 3.84413 4.45547
355 0 3.84413 -4.45547
356 0 0.08542 2.255
357 0 0.08636 2.63065
358 0 0.29136 -0.61974
359 0 3.44097 6.29063
360 0 3.44086 -6.29063
361 0 0.08485 -0.50978
362 0 0.34226 -1.97212
363 0 0.35998 -2.03432
364 0 0.3622 5.53818
365 0 0.34356 5.59336
366 0 0.35996 6.05308
367 0 0.34226 6.11586
368 0 0.34307 5.17263
369 0 0.36078 5.23531
370 0 0.35635 -4.59686
371 0 0.33772 -4.54168
372 0 0.3432 -6.61725
373 0 0.36203 -6.56213
374 0 0.35665 -6.26114
375 0 0.33801 -6.20596
376 0 0.35736 -4.89741
377 0 0.3395 -4.95151
378 0 3.73202 -7.40673
379 0 3.73202 7.40673
380 0 0.19499 4.0202
381 0 0.0367 7.18549
382 0 0.0367 -1.41451
383 0 0.03568 -7.18501
384 0 0.18278 -0.65022
385 0 0.21682 3.22071
386 0 3.15416 7.82847
387 0 3.15415 -7.82845
388 0 0.29159 -1.06559
389 0 0.29046 1.06628
390 0 0.16563 3.34956
391 0 0.21653 -7.93967
392 0 0.21873 7.93936
393 0 0.14637 3.50951
394 0 0.32713 3.15975
395 0 0.29328 3.11291
396 0 0.05685 0.73326
397 0 3.26629 7.57153
398 0 3.26629 -7.57153
399 0 0.03998 7.7926
400 0 0.03998 -7.7926
401 0 3.8971 -3.59871
402 0 3.8971 3.59871
403 0 0.25037 0.12713
404 0 0.21319 4.0747
405 0 3.02773 7.95858
406 0 3.02772 -7.95857
407 0 0.17465 -5.35182
408 0 0.34243 4.06342
409 0 0.35611 4.00804
410 0 0.30233 0.72426
411 0 0.30513 -3.66384
412 0 3.16589 7.95102
413 0 3.16588 -7.951
414 0 0.08804 -5.33686
415 0 3.47984 -2.93461
416 0 3.47984 2.93461
417 0 3.8971 3.33538
418 0 3.8971 -3.33538
419 0 3.52056 -4.20798
420 0 3.52056 4.20798
421 0 3.84121 6.83039
422 0 3.84121 -6.83039
423 0 1.55561 -8.73293
424 0 1.55561 8.73293
425 0 2.05547 8.20276
426 0 2.05661 -8.20526
427 0 3.28095 -3.21886
428 0 3.28095 3.21886
429 0 0.60131 8.07018
430 0 0.63065 8.13321
431 0 0.605 -8.07086
432 0 0.63087 -8.13699
433 0 0.21142 2.33195
434 0 3.44146 -5.77557
435 0 3.44157 5.77557
436 0 0.38979 -1.01563
437 0 0.25071 5.82833
438 0 0.23596 -4.32101
439 0 0.24653 4.28113
440 0 0.24998 -6.85176
441 0 0.23596 -5.98501
442 0 2.58812 8.15209
443 0 2.66258 8.15527
444 0 2.66221 -8.15427
445 0 2.58774 -8.1511
446 0 0.2199 -8.13349
447 0 0.2199 8.13349
448 0 3.84182 5.2414
449 0 3.84182 -5.2414
450 0 0.20545 -5.87512
451 0 0.20545 -4.21112
452 0 0.28152 3.2284
453 0 1.37253 8.86558
454 0 1.37253 -8.86558
455 0 3.57665 6.15211
456 0 3.57652 -6.15211
457 0 3.18705 -8.77523
458 0 3.18705 8.77523
459 0 0.29625 -0.50768
460 0 0.31164 0.09818
461 0 0.07693 7.46458
462 0 0.07693 -7.46458
463 0 0.29207 -8.09729
464 0 0.29215 8.09748
465 0 0.07254 1.25955
466 0 3.71769 -3.9069
467 0 3.71769 3.9069
468 0 3.50294 -3.98061
469 0 3.50294 3.98061
470 0 0.16774 -3.27331
471 0 0.19184 -3.22645
472 0 0.03526 7.42191
473 0 0.03526 -7.42191
474 0 0.04043 3.72579
475 0 3.32066 -7.73336
476 0 3.32066 7.73336
477 0 0.39342 1.01971
478 0 0.29527 7.46557
479 0 0.29527 -1.13443
480 0 0.29527 1.13443
481 0 0.29527 -7.46557
482 0 0.20894 -5.10926
483 0 0.24986 -2.11298
484 0 0.25104 5.46014
485 0 0.25016 5.97229
486 0 0.2506 5.31543
487 0 0.25057 -4.67543
488 0 0.25057 -6.33943
489 0 0.25105 -6.48417
490 0 0.25139 -4.81836
491 0 0.59334 8.88503
492 0 0.59334 -8.88503
493 0 2.16063 -8.55947
494 0 2.1606 8.55939
495 0 0.03247 0.79437
496 0 0.2725 -7.16192
497 0 0.28406 0.02185
498 0 0.3206 -0.02059
499 0 0.33882 -7.87311
500 0 0.34601 7.875
501 0 0.1758 -0.96341
502 0 0.17801 7.1796
503 0 0.17801 -1.4204
504 0 0.16999 -7.17375
505 0 0.29563 3.39138
506 0 0.04204 -5.39799
507 0 0.03488 1.30875
508 0 3.3546 -8.44903
509 0 3.3546 8.44903
510 0 2.99777 8.02459
511 0 2.99773 -8.02451
512 0 0.043 -3.73
513 0 0.48252 8.09296
514 0 0.48251 -8.08741
515 0 0.19134 -3.11907
516 0 0.07693 -1.13542
517 0 0.07933 1.13613
518 0 0.30062 1.56815
519 0 3.2612 3.6461
520 0 3.26376 -3.6373
521 0 1.0359 8.13121
522 0 1.0359 -8.13121
523 0 3.7372 4.65056
524 0 3.7372 -4.65056
525 0 0.03347 -0.79412
526 0 3.57678 -5.91707
527 0 3.57691 5.91707
528 0 0.1847 -7.37118
529 0 0.1871 1.22953
530 0 0.1847 -1.22882
531 0 0.1847 7.37118
532 0 0.03526 -1.17809
533 0 0.03766 1.1788
534 0 0.31583 -5.32448
535 0 0.17797 2.49392
536 0 0.30534 0.88093
537 0 0.03378 -2.94142
538 0 0.30913 -2.849
539 0 0.18979 -0.28559
540 0 0.34492 -3.33977
541 0 0.17838 -0.08457
542 0 0.66243 8.26306
543 0 0.66246 -8.263
544 0 0.07712 3.0181
545 0 0.3502 3.62321
546 0 0.11114 0.72089
547 0 0.07615 1.87523
548 0 3.16883 -8.56424
549 0 3.16883 8.56424
550 0 0.21852 4.47973
551 0 0.21473 6.53313
552 0 0.11708 -7.86211
553 0 0.11708 7.86211
554 0 0.40403 3.62252
555 0 0.34637 -8.63606
556 0 0.34637 8.63606
557 0 0.31078 2.21055
558 0 3.72974 7.02639
559 0 3.72974 -7.02639
560 0 3.72555 6.61811
561 0 3.72554 -6.61811
562 0 0.33372 -2.80311
563 0 0.33499 -0.46353
564 0 0.1484 -3.1676
565 0 3.73488 5.04149
566 0 3.73488 -5.04149
567 0 2.12901 8.77599
568 0 2.12901 -8.776
569 0 3.31209 -3.91799
570 0 3.3508 3.91652
