i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
589 0 4.65e-10 -1.422e-09
590 0 5.78e-10 -1.415e-09
591 0 4.66e-10 7.178e-09
592 0 5.79e-10 7.185e-09
593 0 2.86e-10 -2.883e-09
594 0 1.308e-09 3.195e-09
595 0 8.05e-10 7.382e-09
596 0 8.04e-10 -1.222e-09
597 0 6e-10 -5.395e-09
598 0 8.4e-10 -2.87e-10
599 0 7.56e-10 -2.44e-10
600 0 9.68e-10 -5.133e-09
601 0 1.32e-10 -4.6e-10
602 0 1.32e-10 4.6e-10
603 0 1.118e-09 3.302e-09
604 0 6.8e-11 4.599e-09
605 0 3.02e-10 4.296e-09
606 0 7.1e-10 1.2916e-08
607 0 7.1e-10 -1.2916e-08
608 0 8.02e-10 -7.383e-09
609 0 8.02e-10 -9.82e-10
610 0 8.02e-10 9.82e-10
611 0 1.2897e-08 -1.284e-08
612 0 9.14e-10 2.942e-09
613 0 6.2e-11 -5.18e-09
614 0 4.47e-10 -6.558e-09
615 0 8.331e-09 -1.117e-08
616 0 1.3023e-08 -1.2488e-08
617 0 7.8e-10 1.334e-09
618 0 2.47e-10 -6.302e-09
619 0 2.34e-10 -5.688e-09
620 0 1.31e-10 -6.302e-09
621 0 5.51e-10 3.324e-09
622 0 5.53e-10 3.075e-09
623 0 9.02e-10 -2.86e-09
624 0 7.97e-10 -2.945e-09
625 0 1.109e-09 5.734e-09
626 0 1.191e-09 5.664e-09
627 0 8.33e-10 -1.91e-09
628 0 7.42e-10 -1.949e-09
629 0 1.254e-09 2.872e-09
630 0 5.07e-10 1.7e-10
631 0 1.156e-09 -2.336e-09
632 0 1.076e-09 -2.258e-09
633 0 1.162e-09 6.26e-09
634 0 1.08e-09 6.329e-09
635 0 5.907e-09 9.064e-09
636 0 7.62e-10 -6.225e-09
637 0 3.26e-10 -4.56e-09
638 0 1.398e-08 -1.131e-08
639 0 1.3924e-08 1.1249e-08
640 0 1.1814e-08 1.2861e-08
641 0 1.1813e-08 -1.2873e-08
642 0 1.172e-09 -6.531e-09
643 0 1.084e-09 -6.467e-09
644 0 6.3e-10 4.638e-09
645 0 2.74e-10 -5.773e-09
646 0 7.803e-09 9.943e-09
647 0 9.538e-09 -9.998e-09
648 0 7.073e-09 -4.471e-09
649 0 6.978e-09 -4.817e-09
650 0 7.352e-09 9.206e-09
651 0 7.793e-09 2.179e-09
652 0 7.793e-09 -2.179e-09
653 0 1.2665e-08 -2.301e-09
654 0 1.2665e-08 2.301e-09
655 0 7.207e-09 -3.091e-09
656 0 7.207e-09 3.091e-09
657 0 1.115e-09 -1.604e-09
658 0 8.216e-09 -8.052e-09
659 0 8.229e-09 8.041e-09
660 0 1.29e-10 4.094e-09
661 0 1.2715e-08 7.401e-09
662 0 1.2715e-08 -7.401e-09
663 0 3.42e-10 -1.766e-09
664 0 3.41e-10 6.827e-09
665 0 8.419e-09 -5.624e-09
666 0 7.515e-09 -2.913e-09
667 0 7.515e-09 2.913e-09
668 0 5.03e-10 1.034e-09
669 0 5.03e-10 -1.034e-09
670 0 5.04e-10 -7.434e-09
671 0 1.23e-10 4.3e-09
672 0 5.328e-09 -1.0137e-08
673 0 5.32e-09 1.0133e-08
674 0 5.03e-10 -1.166e-09
675 0 5.03e-10 7.434e-09
676 0 7.85e-10 -5.309e-09
677 0 2.69e-10 1.459e-09
678 0 3.93e-10 -3.165e-09
679 0 8.153e-09 6.439e-09
680 0 3.26e-10 5.998e-09
681 0 3.06e-10 5.886e-09
682 0 9.77e-10 -4.281e-09
683 0 1.415e-09 8.036e-09
684 0 1.415e-09 -8.036e-09
685 0 1.2989e-08 -8.348e-09
686 0 1.2988e-08 8.34e-09
687 0 7.422e-09 1.0614e-08
688 0 7.343e-09 1.1055e-08
689 0 7.398e-09 -1.1082e-08
690 0 7.497e-09 -1.0639e-08
691 0 1.255e-09 3.493e-09
692 0 1.0639e-08 9.754e-09
693 0 1.274e-09 6.834e-09
694 0 1.269e-09 -1.756e-09
695 0 2.13e-10 1.1459e-08
696 0 2.13e-10 -1.1459e-08
697 0 2.45e-10 1.292e-09
698 0 5.8e-10 1.693e-09
699 0 5.33e-10 -5.474e-09
700 0 9.32e-10 -3.583e-09
701 0 3.12e-10 6.405e-09
702 0 4.12e-10 6.403e-09
703 0 9.149e-09 -5.824e-09
704 0 5.85e-10 -4.697e-09
705 0 4.73e-10 -4.694e-09
706 0 1.114e-09 -6.14e-10
707 0 1.114e-09 6.14e-10
708 0 8.608e-09 -9.801e-09
709 0 8.614e-09 9.868e-09
710 0 3.4e-10 4.3e-10
711 0 3.39e-10 -4.37e-10
712 0 9.882e-09 1.1774e-08
713 0 1.0196e-08 1.1869e-08
714 0 1.0119e-08 -1.227e-08
715 0 9.721e-09 -1.2412e-08
716 0 9.35e-10 3.242e-09
717 0 1.397e-08 -3.052e-09
718 0 1.397e-08 3.052e-09
719 0 7.12e-09 -3.477e-09
720 0 7.121e-09 3.477e-09
721 0 9e-09 -3.077e-09
722 0 8.981e-09 3.054e-09
723 0 2.79e-10 -6.217e-09
724 0 2.78e-10 -5.06e-09
725 0 3.42e-10 -6.469e-09
726 0 7.25e-09 3.797e-09
727 0 7.248e-09 -3.797e-09
728 0 1.3998e-08 7.489e-09
729 0 1.4002e-08 -7.485e-09
730 0 6.97e-10 -3.605e-09
731 0 2.33e-10 1.204e-09
732 0 1.1e-09 6.779e-09
733 0 1.051e-09 6.851e-09
734 0 1.056e-09 -1.664e-09
735 0 1.36e-10 1.739e-09
736 0 7.44e-10 -2.132e-09
