i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
308 0 8.93e-10 -5.137e-09
309 0 1.3029e-08 -6.763e-09
310 0 1.3029e-08 6.763e-09
311 0 2.21e-10 2.718e-09
312 0 2.24e-10 -7.007e-09
313 0 1.398e-09 -1.0498e-08
314 0 1.398e-09 1.0498e-08
315 0 1.1112e-08 4.714e-09
316 0 1.1112e-08 -4.714e-09
317 0 6.36e-10 -7.401e-09
318 0 4.82e-10 5.653e-09
319 0 8.07e-10 -3.728e-09
320 0 1.135e-09 -7.039e-09
321 0 1.256e-09 -6.96e-09
322 0 1.16e-10 -4.085e-09
323 0 6.25e-10 -1e-09
324 0 9.294e-09 1.1267e-08
325 0 9.294e-09 -1.1267e-08
326 0 1.1859e-08 6.384e-09
327 0 1.1859e-08 -6.384e-09
328 0 5.14e-10 -3.909e-09
329 0 1.037e-09 6.656e-09
330 0 1e-10 5.725e-09
331 0 1.04e-09 2.51e-10
332 0 1.183e-09 8.8e-11
333 0 8.38e-10 -7.271e-09
334 0 7.519e-09 1.1994e-08
335 0 7.519e-09 -1.1994e-08
336 0 6.395e-09 7.857e-09
337 0 6.395e-09 -7.857e-09
338 0 4.1e-10 -1.66e-09
339 0 9.05e-10 3.069e-09
340 0 8.97e-10 4.289e-09
341 0 9.36e-10 -6.913e-09
342 0 8.05e-10 -3.357e-09
343 0 9.25e-10 -3.517e-09
344 0 4.45e-10 2.697e-09
345 0 4.81e-10 -8.68e-10
346 0 1.0942e-08 2.641e-09
347 0 1.0942e-08 -2.641e-09
348 0 1.209e-09 -6.7e-10
349 0 7.81e-10 -6.39e-10
350 0 1.173e-09 -7.259e-09
351 0 9.5e-11 -6.868e-09
352 0 1.094e-09 -4.662e-09
353 0 9.07e-10 3.539e-09
354 0 1.095e-09 -5.138e-09
355 0 3.48e-10 -3.831e-09
356 0 1.115e-09 4.988e-09
357 0 8.85e-10 4.988e-09
358 0 5.76e-10 -4.097e-09
359 0 9.68e-10 -6.722e-09
360 0 1.2479e-08 1.3082e-08
361 0 1.2479e-08 -1.3082e-08
362 0 4.8e-10 4.671e-09
363 0 5.69e-10 4.841e-09
364 0 1.19e-09 -5.72e-09
365 0 8.24e-10 -8.7e-10
366 0 1.172e-09 -8.72e-10
367 0 8.257e-09 1.0215e-08
368 0 9.031e-09 1.0546e-08
369 0 8.257e-09 -1.0215e-08
370 0 9.031e-09 -1.0546e-08
371 0 8.32e-10 2.477e-09
372 0 6.36e-10 -3.739e-09
373 0 4.08e-10 6.944e-09
374 0 1.18e-10 -2.501e-09
375 0 1.0071e-08 -3.679e-09
376 0 1.0824e-08 -3.953e-09
377 0 1.0071e-08 3.679e-09
378 0 1.0824e-08 3.953e-09
379 0 5.84e-10 3.73e-09
380 0 5.18e-10 3.53e-09
381 0 5.7e-10 5.174e-09
382 0 5e-10 5.343e-09
383 0 8.16e-10 -2.509e-09
384 0 9.59e-10 -2.365e-09
385 0 9.553e-09 -7.063e-09
386 0 9.253e-09 -7.76e-09
387 0 9.253e-09 7.76e-09
388 0 9.553e-09 7.063e-09
389 0 1.86e-10 -3.887e-09
390 0 2.24e-10 -6.674e-09
391 0 9.6e-11 6.096e-09
392 0 1.94e-10 -7.173e-09
393 0 3.27e-10 -7.307e-09
394 0 8.26e-10 2.149e-09
395 0 1.105e-09 3.075e-09
396 0 8.79e-10 -5.888e-09
397 0 1.101e-09 4.29e-09
398 0 5.76e-10 -4.471e-09
399 0 5.78e-10 -5.333e-09
400 0 7.87e-10 -4.464e-09
401 0 1.211e-09 3.742e-09
402 0 7.88e-10 -5.34e-09
403 0 5.634e-09 -6.506e-09
404 0 5.634e-09 6.506e-09
405 0 1.1321e-08 9.255e-09
406 0 1.1321e-08 -9.255e-09
407 0 1.1469e-08 -1.0946e-08
408 0 1.1469e-08 1.0946e-08
