i status r z
<type 'numpy.int64'> <type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'>
278 0 8.146e-09 3.489e-09
279 0 3.53e-10 4.334e-09
280 0 3.65e-10 5.874e-09
281 0 3.16e-10 -6.96e-10
282 0 2.19e-10 3.137e-09
283 0 5.66e-10 -8.028e-09
284 0 5.66e-10 8.028e-09
285 0 2.26e-10 3.406e-09
286 0 1.16e-10 6.4e-10
287 0 2.14e-10 -3.898e-09
288 0 4.56e-10 -8.065e-09
289 0 4.56e-10 8.065e-09
290 0 3.03e-10 2.547e-09
291 0 3.36e-10 2.495e-09
292 0 3.36e-10 2.389e-09
293 0 3.03e-10 2.333e-09
294 0 8.2e-11 1.495e-09
295 0 5.2e-09 6.494e-09
296 0 5.2e-09 -6.494e-09
297 0 4.291e-09 8.883e-09
298 0 4.293e-09 -8.887e-09
299 0 2.92e-10 -8.077e-09
300 0 2.92e-10 8.077e-09
301 0 3.09e-10 3.693e-09
302 0 2.09e-10 -6.01e-10
303 0 3.4e-11 3.489e-09
304 0 2.13e-10 2.546e-09
305 0 2.04e-10 -2.685e-09
306 0 1.75e-10 -2.632e-09
307 0 2.48e-10 -6.999e-09
308 0 3.42e-10 -1.684e-09
309 0 3.53e-10 2.146e-09
310 0 3.19e-10 -3.053e-09
311 0 3.04e-10 -4.157e-09
312 0 3.06e-10 4.792e-09
313 0 3.06e-10 -3.296e-09
314 0 3.02e-10 6.834e-09
315 0 2.99e-10 4.956e-09
316 0 3.21e-10 -6.755e-09
317 0 3.21e-10 -5.766e-09
318 0 1.54e-10 -2.741e-09
319 0 3.18e-10 -5.398e-09
320 0 3.43e-10 3.761e-09
321 0 1.93e-10 3.905e-09
322 0 4.2e-11 -5.64e-10
323 0 3.7e-11 -7.802e-09
324 0 3.7e-11 7.802e-09
325 0 3.54e-10 7.66e-10
326 0 3.84e-10 6.01e-09
327 0 3.75e-10 6.521e-09
328 0 3.88e-10 4.469e-09
329 0 1.34e-10 7.122e-09
330 0 1.23e-10 -7.117e-09
331 0 8.5e-11 2.255e-09
332 0 8.6e-11 2.631e-09
333 0 2.91e-10 -6.2e-10
334 0 7.547e-09 -3.133e-09
335 0 7.547e-09 3.133e-09
336 0 8.5e-11 -5.1e-10
337 0 3.62e-10 5.538e-09
338 0 3.44e-10 5.593e-09
339 0 3.6e-10 5.235e-09
340 0 3.42e-10 5.172e-09
341 0 3.62e-10 -4.598e-09
342 0 3.44e-10 -4.543e-09
343 0 3.62e-10 -6.257e-09
344 0 3.44e-10 -6.206e-09
345 0 3.62e-10 -4.898e-09
346 0 3.44e-10 -4.953e-09
347 0 1.95e-10 4.02e-09
