status Javgctr z Fbare0 Fbare1 Javgbtm i Fshear1 Fshear2 Fp2 Fshear0 r Fp1 Fp0 Fbarevol0 Fbarevol1 Fbarevol2 Javgtop Fbare2
<type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.int32'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'>
1 10.2555417761 8.349e-09 -0.697744832143 0.119337107714 10.2567103733 10 -1.93600108341e-05 -0.000986453952997 -0.157603232116 -0.00012779155214 2.742e-09 -0.00422257550218 -0.049480368444 -0.367725849367 -0.00932411459086 -1.01444862428 10.2551775286 -1.58703824484
1 10.7642253098 -2.727e-09 -4.12534945188 -0.228010938673 10.7649418865 11 -3.9470898576e-05 -1.25782054056e-05 -0.0102073986147 -0.000159139285384 3.407e-09 0.0121952890869 -0.538092427116 -4.05073016314 0.0408407863034 -0.0460737700304 10.7641938323 0.0576109468601
1 14.5067967656 4.317e-09 1.89439152529 -0.139701116076 14.5084027412 12 -0.000927718362047 -0.152668143515 -0.608646811363 0.00154779539015 1.63e-10 -0.00595019433833 0.0228223057786 2.23539544565 -0.138728961467 -0.600582779209 14.5071316363 -0.542566326866
1 20.9506119552 4.34e-09 0.315878328367 -0.0210525669485 20.9526940243 13 0.000395505524999 -0.252456013133 -0.931922958226 -0.000786218659332 3e-11 0.0144387990012 0.00535585464686 0.364135164819 -0.000766667188074 -1.03193548358 20.9514850232 -0.832289747885
1 9.12568920793 -6.634e-09 2.73553148097 0.00417986107299 9.12339391026 14 -6.22891590328e-05 -0.0926669802517 -0.106251568697 0.000665553969423 3.24e-10 -0.00336773359222 0.14757730044 3.23938056741 -0.00451713371295 2.3977149098 9.12526471589 2.08914753881
1 28.6773813329 8.195e-09 -0.0108360095665 -0.0116613358234 28.6799854911 15 -0.000105298952877 -0.0407941039228 -0.422495967007 0.000214019371446 6.04e-10 -0.000581028522344 -0.0248486398638 -0.106168546132 0.0151749215906 -2.69270856124 28.6786528589 -2.79612215177
1 11.0849576157 1.378e-09 3.38020810733 0.0386496611785 11.8306231239 16 5.69915241543e-06 -0.0934203608553 -0.349116027034 0.00253260579199 3.66e-10 -0.0117048453019 0.0761088136723 3.90426500142 0.0270842335524 -0.701591858845 11.7227015654 -0.741668034134
1 25.7958925665 -1.378e-09 4.30483433154 -0.106579606235 27.4854753026 17 -0.000246870235386 -0.103559944589 -0.281005406074 0.00128384412729 3.65e-10 -0.000904115854363 0.140563030003 4.63967674289 0.00206064304957 -1.29814156979 28.0939230911 -0.704053249997
1 26.8009055539 -1.465e-09 4.32199430513 -0.031774927184 27.7277591952 18 0.000448720236338 -0.127493641974 -0.315870373355 0.00110454816826 3.74e-10 -0.00712333856073 0.135494677502 4.72589301765 0.00824488611554 -1.2569648495 28.5558773802 -1.01887228366
1 18.3466073437 1.464e-09 3.49530666868 0.139290351934 19.9074282421 19 0.000357258405435 -0.120376297069 -0.515968872523 0.000810391753478 3.75e-10 -0.0308530542888 0.0657853413118 3.89971372382 0.0231729199743 -1.2998671314 19.7456654198 -1.10438349618
1 17.4508216085 -1.493e-09 3.25905452274 0.0356386773899 17.9495505305 20 -0.000680069444402 -0.162265596841 -0.372793607561 0.00225564527253 2.58e-10 -0.00200696658368 0.110227130836 3.4506892745 0.00984167905153 -0.759254915642 18.4521644012 -0.538510884745
1 13.4157910669 1.493e-09 2.5449597102 0.0562871243233 14.3146975686 21 -0.000459356534802 -0.143367003799 -0.529130547384 0.00233554760389 2.6e-10 -0.00324247996296 0.0603454167737 3.07870086656 0.00807988140373 -0.938771241331 14.1855095526 -0.922063389775
1 8.61624782277 -8.221e-09 0.0294127417748 0.143291350595 8.61701570701 22 -0.000272520810216 -0.0173084176121 0.258639523129 0.000579035757672 2.72e-10 -0.00264701569395 0.0120719693304 0.0623661530011 -0.01824493077 1.94247904061 8.61589314473 2.34788274454
1 16.3355941658 7.068e-09 1.49145884972 -0.00125949178177 16.3367483773 23 0.000278568134573 -0.106542978648 -0.874685601575 0.000828631045606 2.38e-10 -0.0293677289109 0.175756929772 1.86444694255 0.00952568119142 -5.01625870788 16.1005278497 -4.73680513262
1 19.8188458737 7.134e-09 1.91622806171 -0.0458791070636 19.8199254436 24 0.000805161550914 -0.0926879995981 -0.642304903737 0.000863393055608 2.65e-10 0.00282080080233 0.119892119227 1.81524878704 0.00643189959807 -5.42722129792 19.4254974249 -4.58879867961
1 8.1836739275 -7.462e-09 1.25027583661 0.112355569743 8.16879130346 25 -0.000506364106087 -0.0502195906439 0.35996206019 -0.00105013797186 2.11e-10 0.000517110090806 0.0873714358266 0.960432619346 0.015222347687 4.2603473647 8.18316749135 3.69328628887
1 13.7498757133 4.92e-09 2.72634312443 -0.0488394087005 13.7510593984 26 -0.000903505579274 -0.100109250344 -0.44333775561 0.00138676687667 2.78e-10 0.0130160564632 0.0782693336179 3.34464050687 0.022055825826 -0.833128637342 13.7498531775 -0.74954529946
1 9.59325669208 -7.413e-09 0.697194483506 0.0321603710256 9.49645015953 27 -5.68482351491e-05 -0.111898433538 0.129269086408 -0.00385033984337 1.76e-10 0.0126910687895 0.0546303393929 0.938585266105 0.00490395274721 4.27983495881 9.59299793057 4.09544558563
1 21.0648413323 4.37e-09 0.792457449372 0.0143468406234 21.0666838372 28 0.000109441363625 -0.247523811379 -0.931388047004 0.000892330824463 8.1e-11 -0.0334440472489 0.0305647014925 1.00644112832 0.00480094354608 -1.02913827028 21.0658843826 -1.00103595323
1 8.83384466258 -3.081e-09 2.60189345902 0.0145513557247 8.83479549105 29 0.000377299031386 -0.0686564911046 -0.258990851258 0.000953497367752 2.4e-10 -0.0171625131066 0.0621638826884 3.23600930193 -0.0182976497935 -0.337778871982 8.83329399148 -0.354249941381
1 10.2141728152 7.34e-09 0.47191663123 0.0909214072119 10.2148066941 30 0.000295070608428 -0.0922756690656 -0.690758199875 0.000546237886721 6.8e-11 0.00155615535663 0.0339073772846 0.365033357999 0.00727755558495 -4.96050537486 10.1022122794 -4.00183245956
1 16.1891415272 5.013e-09 -0.438155516233 0.0120220888373 16.1900423619 31 0.00034148790962 0.000157168636424 0.00248774193627 -0.000275046777374 4.625e-09 -0.0141949874165 0.0744525255356 0.229436752372 -0.0366573210547 0.0621607630205 16.190603545 -0.0554720388553
1 14.9889597182 -5.013e-09 -0.593797665864 0.0927020820904 14.9904863075 32 -6.12302459646e-05 -0.00155310739314 -0.00701228380054 0.00261697813506 4.625e-09 -0.00528201421072 -0.0450924072726 -0.311988830452 -0.0172363166009 -0.0111276660257 14.9889986838 0.0999977179015
1 7.17965562963 -3.006e-09 2.56204868688 0.0503353750219 7.18005191689 33 -1.49353532417e-05 -0.0653863885775 -0.256892154157 0.00117014382042 2.32e-10 -0.00529449627391 0.0624211672319 3.12813575687 -0.0123121133809 -0.271168465971 7.17888971132 -0.238341748862
