status Fshear[0] Fshear[1] Javgbtm i Fp[1] Fbare[1] Fp[0] Fshear[2] r Fbare[0] Fbare[2] Fp[2] Javgtop z Javgctr
<type 'numpy.int64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.int32'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'> <type 'numpy.float64'>
293 293 293 293 293 293 293 293 293 293 293 293 293 293 293 293
1 8.84780123042 -22.0272475353 57.1674229602 60 -42.0109109285 -1.08699269616e-16 52.852749008 -9.38639294577 1.07739e-08 -5.37487783706e-17 -3.66625199833e-15 -142.960026917 57.1674205712 1.17091e-08 57.1674227142
1 7.11617271136 -28.3605701097 58.1753038837 61 2.89365919133 3.03016153626e-17 44.6367660225 -8.55657025906 1.07721e-08 -1.31090662521e-16 -3.40123580474e-15 -160.589150887 58.1753018213 -1.1709e-08 58.1753036451
1 21.6056989075 -28.9481203571 56.4761392493 62 0.253341885008 4.18340463745e-17 -1.25416455307 -10.6612029445 7.0413e-09 -6.71168240828e-17 -3.47686881854e-15 -132.857153964 56.4761374806 -4.3365e-09 56.4761390299
1 16.2135528643 -24.0907885351 56.9134342205 63 -42.3697919085 -9.34860325602e-17 12.1228087832 -2.54764096516 7.0413e-09 -1.0269384268e-16 -3.6929297347e-15 -162.116278927 56.9134318702 4.3365e-09 56.9134340296
1 30.6868301308 -17.5542747666 56.9914231284 64 -10.5611482356 -1.35097251691e-16 20.6005129176 -6.74570957303 8.246e-09 -2.35398587555e-16 -3.40220499414e-15 -168.36560647 56.9914213368 -8.1224e-09 56.991422919
1 15.7080488182 -21.0949706988 60.3126941883 65 -38.1985953516 -1.49611293778e-16 -2.37095681105 -10.5100544076 7.6886e-09 -1.6136844875e-16 -3.49463469768e-15 -166.069793897 60.312691998 -9.139e-09 60.3126939428
1 22.2677155413 -16.6036957891 53.2321833222 66 -52.9119783864 -1.4000264427e-16 -3.24872888863 -5.93623250233 8.2568e-09 -1.4095995105e-16 -3.60819291592e-15 -189.970254838 53.2321820046 8.12e-09 53.2321831458
1 17.9188761779 -12.0820999731 58.5730838563 67 -62.5792640989 -2.38412642098e-16 5.5321895167 -6.20833581318 7.7133e-09 -1.52771763384e-16 -3.63366828963e-15 -161.167152802 58.5730823268 9.1249e-09 58.5730837377
1 20.9622718801 -18.4682367213 53.7113487278 68 -5.81916079439 -2.38532614575e-17 34.2711193413 -16.0921830629 5.0182e-09 -5.58736766683e-17 -3.42087163873e-15 -151.673956315 53.7113471967 -1.14303e-08 53.7113485305
1 20.3889641292 -15.4295822996 54.9146966532 69 -30.6317379245 -2.0956416049e-16 -9.75296294876 -12.6428292554 5.0206e-09 -1.37004524053e-17 -3.62990265089e-15 -145.754062773 54.9146943319 1.14283e-08 54.9146964482
1 25.5178545175 -20.0128300758 58.2208499666 70 -5.87664843271 8.48396213541e-17 -35.929252739 -12.4734824843 5.041e-09 -9.30294554621e-17 -3.63530434792e-15 -180.499630446 58.2208472046 2.9617e-09 58.2208497742
1 15.4767250236 -31.6517584696 57.7925583466 71 -27.712625149 -6.82683621321e-17 40.9184180973 -2.09255865376 5.041e-09 -1.5794624813e-16 -3.43190031007e-15 -166.173576487 57.7925559568 -2.9617e-09 57.7925580041
1 11.7618928518 -26.0658450426 60.1314494111 72 -65.8379714109 -2.50006533168e-17 10.2524635193 -19.0240203243 9.8294e-09 -1.21033941186e-16 -3.57990335171e-15 -118.339082726 60.1314474249 4.073e-09 60.1314492226
1 10.3488831447 -8.18127148165 59.4428576914 73 -36.5569338811 -9.94524921075e-17 46.9474418836 -8.15797229898 9.8294e-09 2.7829447246e-17 -3.58032464902e-15 -185.294086487 59.4428556582 -4.073e-09 59.4428574449
